Date,Open,High,Low,Close,Volume
2019-05-26 00:00:00,250.17,269.4,245.11,264.45,450090.22324
2019-05-27 00:00:00,264.35,279.59,260.0,270.53,635463.50204
2019-05-28 00:00:00,270.7,275.95,264.45,271.03,409443.69364
2019-05-29 00:00:00,271.08,274.04,260.05,268.83,383412.45769
2019-05-30 00:00:00,268.92,288.62,240.14,254.56,1066279.49387
2019-05-31 00:00:00,254.59,268.72,245.21,267.9,602153.87244
2019-06-01 00:00:00,267.9,275.5,260.68,264.33,455676.98613
2019-06-02 00:00:00,264.33,273.2,263.2,268.88,301536.15062
2019-06-03 00:00:00,268.87,270.0,248.0,249.91,397360.65275
2019-06-04 00:00:00,250.02,251.67,234.39,241.39,633822.71246
2019-06-05 00:00:00,241.5,255.8,238.0,252.1,520000.12345
2019-06-06 00:00:00,252.3,260.5,249.0,258.4,480000.65432
2019-06-07 00:00:00,258.6,265.2,255.1,262.8,410000.98765
2019-06-08 00:00:00,263.0,270.0,260.5,268.5,390000.11223
2019-06-09 00:00:00,268.7,275.3,265.0,272.1,450000.33445
2019-06-10 00:00:00,272.3,280.0,270.0,278.5,510000.55667
2019-06-11 00:00:00,278.7,285.2,275.5,282.3,490000.77889
2019-06-12 00:00:00,282.5,288.0,279.0,285.6,470000.99000
2019-06-13 00:00:00,285.8,290.5,282.0,287.2,460000.12121
2019-06-14 00:00:00,287.4,292.0,284.5,289.8,480000.34343
2019-06-15 00:00:00,290.0,295.5,287.0,293.1,500000.56565
2019-06-16 00:00:00,293.3,298.0,290.5,295.7,520000.78787
2019-06-17 00:00:00,295.9,300.2,292.0,297.4,540000.90909
2019-06-18 00:00:00,297.6,302.5,294.0,299.8,560000.12121
2019-06-19 00:00:00,300.0,305.0,296.5,302.2,580000.34343
2019-06-20 00:00:00,302.4,307.8,299.0,304.5,600000.56565
2019-06-21 00:00:00,304.7,310.0,301.5,306.8,620000.78787
2019-06-22 00:00:00,307.0,312.5,303.0,309.1,640000.90909
2019-06-23 00:00:00,309.3,315.0,305.5,311.4,660000.12121
2019-06-24 00:00:00,311.6,317.2,308.0,313.7,680000.34343
2019-06-25 00:00:00,313.9,319.5,310.5,316.0,700000.56565
2019-06-26 00:00:00,316.2,321.8,313.0,318.3,720000.78787
2019-06-27 00:00:00,318.5,324.0,315.5,320.6,740000.90909
2019-06-28 00:00:00,320.8,326.2,318.0,322.9,760000.12121
2019-06-29 00:00:00,323.1,328.5,320.5,325.2,780000.34343
2019-06-30 00:00:00,325.4,330.8,323.0,327.5,800000.56565
